Film Title,WW210,Days to HQ,WW Box,Box * Days to HQ, Has CAM? , A , Animation , Adventure , Comedy , Drama , Romantic Comedy , Horror/Thriller , PG-13 , R 
Hercules,37386751,89,245,21789,1,1,0,1,0,0,0,0,1,0
Wish I Was Here,5161958,72,5,395,0,0,0,0,1,0,0,0,0,1
Planes: Fire & Rescue,13203324,91,151,13776,1,1,1,0,0,0,0,0,0,0
The Purge: Anarchy,24548855,15,112,1679,1,0,0,0,0,0,0,1,0,1
Sex Tape,31227325,78,126,9833,1,0,0,0,1,0,0,0,0,1
Dawn of the Planet of the Apes,59582315,109,711,77460,1,1,0,0,0,0,0,0,1,0
Deliver Us from Evil,13623756,99,88,8706,1,0,0,0,0,0,0,1,0,1
Tammy,7952735,16,101,1608,1,1,0,0,1,0,0,0,0,1
Lucy,58475709,70,463,32435,1,0,0,0,0,0,0,0,0,1
A Walk Among the Tombstones,25642130,90,53,4786,1,0,0,0,0,1,0,0,0,1
Annabelle,22892545,16,257,4110,1,0,0,0,0,0,0,1,0,1
Dolphin Tale 2,3583183,16,58,925,1,1,0,1,0,0,0,0,0,1
Dracula Untold,34593093,37,217,8034,1,0,0,0,0,0,0,1,0,0
Dumb and Dumber To,27228804,39,170,6624,1,0,0,0,1,0,0,0,1,0
Fury,42809729,41,212,8685,1,0,0,0,0,0,0,0,1,0
Get on Up,3459712,14,33,468,1,0,0,0,0,1,0,0,0,1
Gone Girl,38593690,70,369,25853,1,0,0,0,0,0,0,1,1,0
Guardians of the Galaxy,74341853,102,773,78878,1,1,0,1,0,0,0,0,0,1
Horrible Bosses 2,27073875,14,108,1507,1,1,0,0,1,0,0,0,1,0
If I Stay,16725615,77,79,6073,1,0,0,0,0,1,0,0,0,1
Interstellar,68808436,76,675,51309,1,1,0,1,0,0,0,0,1,0
Into the Storm,22006372,81,162,13098,1,1,0,0,0,0,0,1,1,0
Into the Woods,20994948,13,213,2771,0,0,0,0,0,1,0,0,1,0
John Wick,31625782,81,86,6967,1,0,0,0,0,0,0,0,0,0
Mr. Peabody & Sherman,9775274,91,276,25089,1,1,1,0,0,0,0,0,0,1
Night at the Museum: Secret of the Tomb,27684594,69,363,25061,1,1,0,1,0,0,0,0,0,0
No Good Deed,5488764,94,54,5106,1,0,0,0,0,0,0,1,0,0
Penguins of Madagascar,25916385,41,373,15294,1,1,1,0,0,0,0,0,1,0
Project Almanac,6582216,180,33,5978,1,0,0,0,0,0,0,1,0,0
Seventh Son,24482248,93,114,10619,1,0,0,0,0,0,0,1,1,0
Taken 3,50686214,21,326,6856,1,1,0,0,0,0,0,0,1,0
Teenage Mutant Ninja Turtles,44974982,79,493,38973,1,1,0,0,0,0,0,0,1,0
The Book of Life,9731174,83,100,8282,1,0,1,0,0,0,0,0,1,0
The Boxtrolls,12845392,69,109,7541,1,1,1,0,0,0,0,0,0,0
The Drop,628655,101,19,1885,1,0,0,0,0,1,0,0,0,0
The Equalizer,41671996,78,192,15002,1,1,0,0,0,0,0,1,0,1
The Expendables 3,29002770,29,206,5979,0,1,0,0,0,0,0,0,0,1
The Hobbit: The Battle of the Five Armies,63696242,27,956,25813,1,1,0,1,0,0,0,0,1,0
The Homesman,3236528,85,2,207,0,0,0,1,0,0,0,0,1,0
The Hundred-Foot Journey,5199532,97,89,8621,0,0,0,0,0,1,0,0,0,1
The Hunger Games: Mockingjay - Part 1,34007292,89,755,67227,1,1,0,0,0,0,0,0,0,0
The Judge,26108999,15,84,1266,1,0,0,0,0,1,0,0,1,0
The Maze Runner,55717676,74,348,25776,1,1,0,0,0,0,0,1,0,1
The Pyramid,6452282,90,17,1518,0,0,0,0,0,0,0,1,1,0
The Skeleton Twins,2140074,84,5,444,0,0,0,0,0,1,0,0,0,1
The Woman in Black 2: Angel of Death,6784365,49,27,1299,1,0,0,0,0,0,0,1,0,1
This is Where I Leave You,8663378,22,41,909,0,0,0,0,1,0,0,0,1,0
Top Five,3959704,49,26,1280,1,0,0,0,1,0,0,0,0,1
When the Game Stands Tall,3882876,86,30,2591,1,0,0,0,0,1,0,0,0,1
Alexander and the Terrible_ Horrible_ No Good_ Very Bad Day,7390628,91,101,9226,1,0,0,0,1,0,0,0,0,0
Aloha,6596108,71,26,1864,1,0,0,0,0,0,1,0,1,0
American Sniper,49943344,5,547,2737,0,1,0,0,0,1,0,0,0,1
American Ultra,18606693,22,27,597,1,0,0,0,1,0,0,0,0,1
Ant-Man,68604066,113,519,58675,1,1,0,0,0,0,0,0,1,0
As Above_ So Below,6343723,90,42,3771,1,0,0,0,0,0,0,1,0,1
Avengers: Age of Ultron,65768161,120,1405,168650,1,1,0,0,0,0,0,0,1,0
Big Hero 6,43396073,74,658,48679,1,1,1,0,0,0,0,0,0,0
Birdman or (The Unexpected Virtue of Ignorance),29339905,81,103,8360,0,0,0,0,1,0,0,0,0,1
Blackhat,14740927,70,20,1376,1,0,0,0,0,0,0,1,0,1
Chappie,34017801,70,102,7145,1,1,0,0,0,0,0,0,0,1
Cinderella,19184061,98,543,53183,1,1,0,1,0,0,0,0,0,0
Cybernatural,858254,101,64,6470,1,0,0,0,0,0,0,1,0,1
Entourage,14184050,56,49,2759,0,0,0,0,1,0,0,0,0,1
Ex Machina,16554634,112,37,4129,0,0,0,0,0,0,0,1,0,1
Fantastic Four,42411138,35,168,5879,1,1,0,0,0,0,0,0,1,0
Far from the Madding Crowd,3502300,84,30,2539,0,0,0,0,0,1,0,0,1,0
Fifty Shades of Grey,61687171,15,571,8565,1,1,0,0,0,1,0,0,0,1
Focus,38097250,16,159,2545,1,1,0,0,1,0,0,0,0,1
Furious Seven,80071863,44,1516,66706,1,1,0,0,0,0,0,0,1,0
Get Hard,17623394,33,112,3686,1,0,0,0,1,0,0,0,0,1
Hitman: Agent 47,38360334,63,82,5188,1,1,0,0,0,0,0,0,0,1
Home,7550035,62,386,23935,1,1,1,0,0,0,0,0,0,0
Hot Pursuit,12687252,81,52,4186,1,0,0,0,1,0,0,0,1,0
Hot Tub Time Machine 2,7966953,45,13,589,1,0,0,0,1,0,0,0,0,1
Inherent Vice,4549179,27,15,397,0,0,0,0,0,1,0,0,0,1
Inside Out,38089985,103,857,88251,1,1,1,0,0,0,0,0,0,0
Insidious: Chapter 3,13018160,21,113,2373,1,0,0,0,0,0,0,1,1,0
Insurgent,34652304,112,297,33295,1,1,0,1,0,0,0,0,1,0
Jupiter Ascending,36663058,75,184,13799,1,0,0,1,0,0,0,0,1,0
Jurassic World,75836293,29,1670,48442,1,1,0,0,0,0,0,0,1,0
Kingsman: The Secret Service,40387782,90,414,37292,1,1,0,0,0,0,0,0,0,1
Let's Be Cops,30889023,71,138,9814,1,0,0,0,1,0,0,0,0,1
Mad Max: Fury Road,65445018,40,378,15113,1,1,0,0,0,0,0,0,0,1
Magic Mike XXL,13387864,57,123,6983,1,1,0,0,1,0,0,0,0,1
Max,2218783,15,44,660,0,0,0,1,0,0,0,0,0,0
McFarland_ USA,3884750,83,46,3794,0,0,0,0,0,1,0,0,0,0
Me and Earl and the Dying Girl,4965353,97,9,880,0,0,0,0,0,1,0,0,1,0
Minions,57535760,39,1159,45217,1,1,1,0,0,0,0,0,0,0
Mission: Impossible - Rogue Nation,61631773,57,682,38893,1,1,0,0,0,0,0,0,1,0
Mortdecai,9673103,85,47,4018,1,0,0,0,1,0,0,0,0,1
Mr. Holmes,7875668,114,29,3346,0,0,0,0,0,1,0,0,0,0
Paper Towns,11836006,99,86,8466,1,0,0,0,0,1,0,0,1,0
Paul Blart: Mall Cop 2,10472049,77,108,8284,1,1,0,0,1,0,0,0,0,0
Pitch Perfect 2,22717271,21,288,6038,1,1,0,0,1,0,0,0,1,0
Pixels,33131311,68,244,16568,1,1,0,0,1,0,0,0,1,0
Poltergeist,15713902,32,95,3054,1,1,0,0,0,0,0,1,1,0
Ricki and the Flash,4472651,78,40,3152,1,0,0,0,1,0,0,0,1,0
Run All Night,27663989,57,72,4085,1,0,0,0,0,0,0,0,0,1
San Andreas,50385487,90,474,42641,1,1,0,0,0,0,0,0,1,0
Self/Less,13934167,47,31,1435,0,0,0,0,0,0,0,1,1,0
Shaun the Sheep Movie,4270728,85,83,7095,0,0,1,0,0,0,0,0,0,0
Sinister 2,10445483,104,53,5500,1,0,0,0,0,0,0,1,0,1
Spy,32383302,45,236,10605,1,1,0,0,1,0,0,0,0,1
Step Up All In,16767273,103,86,8875,1,0,0,0,0,1,0,0,1,0
Straight Outta Compton,15800311,15,202,3025,1,0,0,0,0,1,0,0,0,1
Ted 2,40009822,14,217,3034,1,1,0,0,1,0,0,0,0,1
Terminator Genisys,62946949,42,441,18505,1,1,0,0,0,0,0,0,1,0
That's My Boy,10039195,106,58,6118,1,0,0,0,1,0,0,0,0,1
The 33,8037269,103,25,2565,1,0,0,0,0,1,0,0,1,0
The Age of Adaline,12865890,43,43,1833,1,0,0,0,0,1,0,0,1,0
The Boy Next Door,9985121,16,52,839,1,0,0,0,0,0,0,1,0,1
The DUFF,6991506,20,44,871,1,0,0,0,1,0,0,0,1,0
The Gallows,5887232,26,43,1117,1,0,0,0,0,0,0,1,0,1
The Gift,7744847,67,59,3952,0,0,0,0,0,0,0,1,0,1
The Legend of Hercules,18251736,76,61,4657,1,0,0,0,0,0,0,0,1,0
The Longest Ride,10577197,83,63,5224,1,1,0,0,0,1,0,0,1,0
The Man From U.N.C.L.E.,31283061,74,110,8129,1,1,0,0,0,0,0,0,1,0
The Second Best Exotic Marigold Hotel,3351037,115,86,9888,1,0,0,0,1,0,0,0,0,0
The SpongeBob Movie: Sponge Out of Water,18775437,106,323,34284,1,1,1,0,0,0,0,0,0,0
The Wedding Ringer,10027363,85,80,6783,1,0,0,0,1,0,0,0,0,1
Tomorrowland,38066156,121,209,25293,1,1,0,1,0,0,0,0,0,0
Trainwreck,13545551,13,141,1830,0,0,0,0,1,0,0,0,0,1
Unfinished Business,5261759,86,14,1241,0,0,0,0,1,0,0,0,0,1
Vacation,21087860,51,105,5349,1,1,0,0,1,0,0,0,0,1
War Room,2739433,98,68,6643,1,0,0,0,0,1,0,0,0,0
Youth,4161211,156,3,422,1,0,0,0,0,1,0,0,0,1
